,CORN,SOYABEAN,WHEAT_SRW,WHEAT_HRW
2010-01-05,229257.0,88296.0,-2920.0,11773.0
2010-01-12,230326.0,59139.0,-9639.0,16083.0
2010-01-19,131071.0,43237.0,-18872.0,14341.0
2010-01-26,95309.0,32136.0,-33887.0,9490.0
2010-02-02,75891.0,21453.0,-39307.0,6807.0
2010-02-09,40910.0,-391.0,-49574.0,2850.0
2010-02-16,41507.0,21510.0,-38534.0,5977.0
2010-02-23,64867.0,27494.0,-36834.0,5720.0
2010-03-02,88742.0,27090.0,-32739.0,6631.0
2010-03-09,85868.0,11826.0,-32847.0,5433.0
2010-03-16,55798.0,9840.0,-39549.0,4037.0
2010-03-23,29745.0,40705.0,-40933.0,2651.0
2010-03-30,6859.0,44479.0,-49196.0,-3172.0
2010-04-06,-18172.0,18964.0,-50417.0,-2627.0
2010-04-13,-19244.0,44580.0,-42867.0,-3419.0
2010-04-20,9776.0,72295.0,-28939.0,1459.0
2010-04-27,253.0,84945.0,-25427.0,6119.0
2010-05-04,65497.0,77173.0,-15687.0,7502.0
2010-05-11,87258.0,43340.0,-15244.0,9652.0
2010-05-18,74145.0,16053.0,-29143.0,3648.0
2010-05-25,81901.0,3612.0,-37633.0,956.0
2010-06-01,80743.0,-1177.0,-43115.0,3348.0
2010-06-08,35526.0,-8137.0,-41530.0,-2759.0
2010-06-15,32628.0,12992.0,-47526.0,-3855.0
2010-06-22,69213.0,28618.0,-33134.0,3807.0
2010-06-29,13045.0,16649.0,-28918.0,4701.0
2010-07-06,79749.0,-1657.0,-8566.0,11621.0
2010-07-13,158067.0,55952.0,10490.0,26415.0
2010-07-20,196662.0,96362.0,25119.0,33195.0
2010-07-27,193448.0,92909.0,34290.0,41451.0
2010-08-03,247999.0,116025.0,36118.0,43015.0
2010-08-10,301028.0,131523.0,40832.0,45421.0
2010-08-17,333803.0,137644.0,47108.0,45007.0
2010-08-24,345359.0,129912.0,47940.0,47557.0
2010-08-31,378537.0,126459.0,45662.0,53298.0
2010-09-07,401884.0,136616.0,49300.0,54196.0
2010-09-14,411850.0,136979.0,49846.0,58108.0
2010-09-21,413092.0,149853.0,39990.0,60395.0
2010-09-28,429189.0,159794.0,26750.0,60078.0
2010-10-05,401126.0,138520.0,16197.0,56464.0
2010-10-12,410439.0,146125.0,11914.0,58453.0
2010-10-19,412595.0,164019.0,7899.0,59055.0
2010-10-26,406443.0,161046.0,13852.0,60655.0
2010-11-02,402534.0,170294.0,19093.0,62335.0
2010-11-09,393489.0,179753.0,18888.0,59127.0
2010-11-16,351927.0,151954.0,-6666.0,54275.0
2010-11-23,340718.0,148066.0,-6883.0,47756.0
2010-11-30,331288.0,141043.0,-6913.0,46769.0
2010-12-07,335889.0,143744.0,25278.0,51366.0
