,processed,planned
2015-12-01,846737.2224750613,704262.9838646372
2015-12-02,150208.7378506045,86415.62708776587
2015-12-03,154512.85724205515,89094.1014934052
2015-12-04,163039.51440273278,101222.70333841613
2015-12-05,168319.91364935058,101756.32211169458
2015-12-06,176035.79241167646,110392.10598967933
2015-12-07,183723.30823853554,106793.33216158915
2015-12-08,189623.4896411498,112938.4214335823
2015-12-09,195233.08644570163,114938.44816717248
2015-12-10,206295.02927346673,120787.9492603728
2015-12-11,209668.06624051105,126305.94937414586
2015-12-12,220219.63471025642,131369.37474095987
2015-12-13,227636.84409875883,139589.1783832099
2015-12-14,237986.30046306548,138987.89550199645
2015-12-15,248691.91134114077,146941.6068950089
2015-12-16,256656.0641844128,156783.3584863758
2015-12-17,264120.919949232,153802.2595371146
2015-12-18,277502.80372781766,162612.87887594476
2015-12-19,292009.23462715733,171809.97009781562
2015-12-20,300907.4416620271,178814.43922291984
2015-12-21,309486.6615330081,183094.3691499938
2015-12-22,322634.45377478807,188753.4293205231
2015-12-23,335587.1550475965,198952.5445736089
2015-12-24,346208.708119323,204691.59387106373
2015-12-25,361059.39726190746,216001.94923893505
2015-12-26,376956.2693992336,222933.63326952732
2015-12-27,388209.3134043888,233801.72566579294
2015-12-28,406938.04843235953,241602.8135217556
2015-12-29,425179.81839985435,251100.3375742511
2015-12-30,442576.3966944819,259543.5098685464
2015-12-31,457774.49907033856,271030.4129145122
2016-01-01,476569.11173256306,282026.1824389784
2016-01-02,494390.285780519,287554.033048305
2016-01-03,515033.85764704156,300309.3730854058
2016-01-04,532856.0454210847,311956.5848892335
2016-01-05,557359.7295271823,326783.26853882684
2016-01-06,573900.6635361823,342246.8918553661
2016-01-07,599037.4152323084,351773.9351732872
2016-01-08,618928.6189942257,367530.27024194243
2016-01-09,649212.2458750749,382052.720927402
2016-01-10,673527.4716229195,394594.51081665343
2016-01-11,696670.2473283058,413976.1075856137
2016-01-12,723735.3615224103,427294.6331424004
2016-01-13,751783.8691153311,443852.73320497014
2016-01-14,783939.5902719704,462124.035577805
2016-01-15,769137.4062545766,478975.47027251386
2016-01-16,842813.1520404414,502411.0814538241
2016-01-17,835528.6997914755,517527.6150659468
2016-01-18,872713.2043039534,539007.9006130887
2016-01-19,883653.3659855541,557762.3458606071
2016-01-20,803117.5549496884,584931.7430447618
2016-01-21,763489.0745420097,605007.9288045155
2016-01-22,823117.5630104964,635186.0020313819
2016-01-23,852595.0522000424,653427.3195015353
2016-01-24,800361.8229891266,671749.933891448
2016-01-25,836577.177629496,659791.1896648713
2016-01-26,827744.1940944159,629814.5308690658
2016-01-27,843346.7952080247,632644.1035238019
2016-01-28,796297.321301795,654116.185570251
2016-01-29,815094.7557907952,665802.6985054042
2016-01-30,818315.3587390218,665511.917997984
2016-01-31,885475.2039652921,658823.881346038
2016-02-01,823045.8678644836,649637.9205958481
2016-02-02,826846.0957838343,650354.0903692959
2016-02-03,851653.1184442454,662628.209869435
2016-02-04,867326.5424457147,672441.969449645
2016-02-05,874695.4061792134,658900.1929027805
2016-02-06,865349.0191304492,661622.7558529156
2016-02-07,817255.3730462318,653362.8627920635
2016-02-08,833071.3771318612,661100.473603745
2016-02-09,871353.4727288764,652418.69644212
2016-02-10,857148.575058843,668200.9101638123
2016-02-11,887664.998887426,678528.5474514426
2016-02-12,856342.3816506325,680197.555025015
2016-02-13,832988.6658026997,680287.5147854275
2016-02-14,831595.4494178544,680134.59303552
2016-02-15,886956.8239367546,684562.3818551565
2016-02-16,877230.7074108747,681776.7875038481
2016-02-17,771262.8367777012,601567.9034504702
2016-02-18,835249.3488303258,684225.8602201863
2016-02-19,849047.4079986647,682237.3793461531
2016-02-20,883597.241664009,681580.8522548756
2016-02-21,833368.8395002328,682093.0174380076
2016-02-22,896109.1315661408,687316.4121446287
2016-02-23,808383.5567585251,627062.1596938963
2016-02-24,728859.5117553927,544955.2373363964
2016-02-25,851974.5725303792,686716.515928401
2016-02-26,790680.1558703699,687146.0545750883
2016-02-27,814700.9880307537,680860.2748139028
2016-02-28,871093.7857188788,677901.8766279884
2016-02-29,741989.2170523816,626176.5757390972
2016-03-01,867092.62137332,692678.619268679
2016-03-02,862047.1593586087,685441.8519981832
2016-03-03,808334.0681763181,678519.2167238411
2016-03-04,852972.7784910513,691776.7272174949
2016-03-05,894400.8874640448,691427.413736572
2016-03-06,859640.9614691132,692232.864112889
2016-03-07,828981.3828146791,692142.754581434
2016-03-08,722953.7318915523,693026.0102784567
2016-03-09,735866.0603487669,603762.2726194907
2016-03-10,848767.4147329439,679338.5739063288
2016-03-11,837090.5512948005,664315.9050298868
2016-03-12,787057.9063452759,680017.2473802567
2016-03-13,843193.9248439177,681979.8845666593
2016-03-14,841951.0189238744,675926.709733601
2016-03-15,792748.8960722503,679111.7043139719
2016-03-16,862252.245809049,678210.5887813522
2016-03-17,836939.2348423544,677642.9184281667
2016-03-18,863720.833821896,676913.5057986765
2016-03-19,872190.7495360285,677377.8090237583
2016-03-20,879510.3231495991,679255.0884472728
2016-03-21,862260.9293826637,679547.7268799565
2016-03-22,852310.0713927057,602281.4142788035
2016-03-23,839195.996942939,599509.5379566161
2016-03-24,897103.2168123567,703542.8847043281
2016-03-25,917756.8071321368,705589.9287321866
2016-03-26,836613.601013041,704144.5245577102
2016-03-27,865558.6059869005,705175.8801247242
2016-03-28,875786.9143372871,701079.1618025175
2016-03-29,760668.0540535292,702720.1766250107
2016-03-30,891661.337128339,697866.0125329064
2016-03-31,796294.5966154449,631599.7481228444
2016-04-01,819346.9305883524,648015.1329228195
2016-04-02,838216.5635899735,701891.6025269347
2016-04-03,864772.3397735948,697448.3853644911
2016-04-04,839437.5550971603,696627.0288417796
2016-04-05,726637.316480043,666452.516474914
2016-04-06,766840.4143338373,660933.9184488916
2016-04-07,775894.1007609293,695611.6493801747
2016-04-08,805447.2086157047,692457.590600098
2016-04-09,756985.6219396279,694114.7409105053
2016-04-10,813306.8653726184,702211.7525616304
2016-04-11,820140.9744898716,700070.463636294
2016-04-12,808868.5082972762,701502.7800286652
2016-04-13,773580.1822295858,702569.983148587
2016-04-14,752736.3001687236,699910.4772792332
2016-04-15,808874.4578103338,704700.2577224985
2016-04-16,768530.5430402741,700331.7290327335
2016-04-17,769339.1086761084,697638.1531446626
2016-04-18,717146.2259662709,698521.9051487385
2016-04-19,770069.2574404656,698525.6615358623
2016-04-20,808123.8368751407,699930.4666910192
2016-04-21,793213.5358998865,699489.9392524143
2016-04-22,791189.6212129997,701287.537877126
2016-04-23,793066.5170753268,703598.3290809231
2016-04-24,790625.0795282568,700694.5256329097
2016-04-25,832747.215956162,704297.8243083587
2016-04-26,786503.7478416644,703294.7451530842
2016-04-27,912665.8088312288,605376.2027074578
2016-04-28,715723.3359600446,703350.527843573
2016-04-29,907278.9463418602,711363.6095136667
2016-04-30,809837.0556350526,705556.2374384395
2016-05-01,861314.0595350765,700952.7377137372
2016-05-02,830285.934700664,603677.0388006514
2016-05-03,691664.8265232211,517903.5361444606
2016-05-04,583323.8158090694,519319.4121702351
2016-05-05,498154.9802353725,440065.61497448164
2016-05-06,836344.0669636079,520933.6100424316
2016-05-07,905821.8926786818,519602.5807595573
2016-05-08,817745.0957527318,466191.30116203555
2016-05-09,787617.3370800831,427397.14871211245
2016-05-10,779636.3072060718,443900.6985343868
2016-05-11,823169.8982530669,445387.83074173605
2016-05-12,839301.6254391248,448412.45070605277
2016-05-13,804279.9199065367,447102.1129946908
2016-05-14,783051.9377387854,445333.90760043956
2016-05-15,845561.6246017087,457560.32986902434
2016-05-16,850849.9229788575,454310.10579851235
2016-05-17,707507.0318516736,413736.34829557285
2016-05-18,900817.2518632979,413760.20987608586
2016-05-19,794649.9642643916,412998.3899184242
2016-05-20,842412.89484681,455915.29391914536
2016-05-21,842342.8999432634,457793.8839356967
2016-05-22,837571.9476912653,448094.2857211729
2016-05-23,808069.0329851396,445297.9445149661
2016-05-24,822221.2877057502,445837.0990885385
2016-05-25,830763.3698267229,450397.38413907
2016-05-26,770302.4721800014,470323.7641295491
2016-05-27,859753.6819874113,520689.6506430839
2016-05-28,831936.3477977933,515660.1648123997
2016-05-29,854814.2743453926,526652.6077518269
2016-05-30,857314.4324052336,494000.2312195658
2016-05-31,854388.8650165884,529062.9675283204
2016-06-01,917593.7567263407,550885.706743453
2016-06-02,914294.877321075,561521.5704412303
2016-06-03,830047.0679935152,569287.3882812297
2016-06-04,903276.8101640197,557075.8246339815
2016-06-05,848221.5784252477,484766.1058403168
2016-06-06,905167.2915750836,556324.1191375571
2016-06-07,913210.5421992289,561847.0649127713
2016-06-08,863968.915900436,551698.3389006288
2016-06-09,928473.7299583519,549702.3220676879
2016-06-10,925011.3501989894,549408.0426240321
2016-06-11,895009.973845571,549537.2642628355
2016-06-12,877537.5105777722,533045.3145998355
2016-06-13,751794.205774538,736962.7662471522
2016-06-14,678322.668022777,628550.8936427978
2016-06-15,651614.219222802,687970.4124232405
2016-06-16,884499.8583329848,861466.0091231245
2016-06-17,888641.2435454441,786920.2816661882
2016-06-18,881901.9416166858,782341.4442005755
2016-06-19,850561.4153835967,769638.3342021991
2016-06-20,865467.9139467347,782257.1897160107
2016-06-21,862752.4854897967,778798.8154032197
2016-06-22,854702.4518389079,778063.0796107369
2016-06-23,823613.1682836341,754180.3330473625
2016-06-24,807113.3155653987,738071.0833073964
2016-06-25,841733.1040328488,739878.4843452566
2016-06-26,849616.5424631923,738550.8784400274
2016-06-27,834059.0076684178,748842.5459971579
2016-06-28,817097.0705774393,719242.3381241229
2016-06-29,696263.8477527059,684600.90597463
2016-06-30,857256.1096218303,762523.054907873
2016-07-01,842131.5691181382,740695.1499651636
2016-07-02,757283.1741117033,724247.1390908567
2016-07-03,723222.5909632203,726230.4208431451
2016-07-04,732627.2831968417,712186.4214674272
2016-07-05,731130.5372260389,708798.5427306942
2016-07-06,763996.0694935105,672327.3429837846
2016-07-07,757455.7976791598,767091.6358403302
2016-07-08,766631.7558852154,766482.2354850032
2016-07-09,732289.6594117032,742830.5659226327
2016-07-10,759599.9850022084,759645.6836327604
2016-07-11,755264.5251308038,764773.5357685126
2016-07-12,769917.7713187049,759963.6692335401
2016-07-13,745820.0947044833,739666.7385434508
2016-07-14,706248.2803818965,723902.0011040511
2016-07-15,728779.0018432224,739874.1669798691
2016-07-16,749178.526275643,742960.121948091
2016-07-17,731534.0643615567,726810.4070146076
2016-07-18,742645.3040027578,738747.0954848201
2016-07-19,757450.7896406973,739309.4267703007
2016-07-20,744438.7487494731,744800.8001082793
2016-07-21,710836.0082114358,740299.4541007009
2016-07-22,711989.5678872587,747573.3410569389
2016-07-23,729849.8718396741,750607.6819427641
2016-07-24,739612.1945308656,751025.5185031757
2016-07-25,758945.4096600546,738924.7572919548
2016-07-26,679196.9214168548,744215.606994612
2016-07-27,783327.1456435771,751399.3937485098
2016-07-28,831029.954829105,764654.7891767543
2016-07-29,757280.6671278307,768017.4346491075
2016-07-30,788494.7332627318,757123.17893078
2016-07-31,821608.2396465875,757506.620348384
2016-08-01,812026.4062686523,747274.7922643351
2016-08-02,800645.2521513265,751324.4574911378
2016-08-03,840226.7079902301,753610.9733976199
2016-08-04,800696.0447405626,761472.8897069142
2016-08-05,831309.6826349228,770443.1235257282
2016-08-06,823454.1560143176,776249.0425383828
2016-08-07,853754.3732644382,773896.5444414424
2016-08-08,841102.7031789284,763931.6382011749
2016-08-09,719227.9250545477,757712.7810323567
2016-08-10,723015.9813853969,717163.3788440033
2016-08-11,828622.0906815513,786013.4133334031
2016-08-12,865362.4229866413,782761.5154884278
2016-08-13,849797.9223328738,783389.5656027453
2016-08-14,819061.3154233177,766565.5803188783
2016-08-15,845786.0205377254,776455.1305222547
2016-08-16,778720.0362504029,691803.078100932
2016-08-17,785644.6161317171,681613.5641012503
2016-08-18,732331.2988197895,695015.1918131111
2016-08-19,837731.2934896771,790979.0513495643
2016-08-20,875645.6116228789,795029.2898996047
2016-08-21,802202.801315504,757640.1741421733
2016-08-22,619719.0304756248,634694.2723227036
2016-08-23,607873.4348884962,647158.6453983926
2016-08-24,612231.4224124536,641764.967661637
2016-08-25,667443.6800190614,577721.154768532
2016-08-26,720472.0949185145,721467.274453077
2016-08-27,846553.1069836473,793378.4061507784
2016-08-28,824759.2065582896,796116.1400088514
2016-08-29,841279.309729963,770786.7079699147
2016-08-30,864571.091533723,780593.8243079688
2016-08-31,868400.34244813,777717.2164850222
2016-09-01,839244.0989737072,767388.4617140703
2016-09-02,779656.5082313599,755809.8638007818
2016-09-03,712417.7987589373,685575.8117965484
2016-09-04,787532.7603501544,691397.2462926473
2016-09-05,722750.5750025819,686082.8047289255
2016-09-06,610534.3808967212,648004.1935184652
2016-09-07,532409.813987117,553443.8081234305
2016-09-08,681491.9752171036,643540.8184606874
2016-09-09,674485.4353781412,643668.3230275658
2016-09-10,615696.8843704464,555820.1837515091
2016-09-11,611091.4180336564,525542.7091228518
2016-09-12,601931.8246149071,534607.067579954
2016-09-13,625403.898967868,549156.8591943755
2016-09-14,542295.8401346583,542865.6289999132
2016-09-15,585216.1186831597,454522.48116545804
2016-09-16,692505.943634478,550935.847660244
2016-09-17,701811.9345429508,570314.9694015757
2016-09-18,596918.4831231958,495426.79088967777
2016-09-19,503027.68391315796,412586.66475511604
2016-09-20,509935.6725254038,423884.64343793393
2016-09-21,552323.0817119669,466374.0548940325
2016-09-22,467992.36065456143,591741.6179521772
2016-09-23,737391.7944785571,564490.6276598092
2016-09-24,829433.0501748656,767002.3795871722
2016-09-25,794152.8852603398,702726.5197269536
2016-09-26,680348.3028364803,642482.4961851396
2016-09-27,702287.6669725444,646830.9680353702
2016-09-28,716380.9920196696,648338.8033996519
2016-09-29,754658.2229584726,638501.1633734425
2016-09-30,780213.4432082596,705223.2657133531
2016-10-01,781508.1973490448,704733.9714142147
2016-10-02,751560.3917638976,706327.2837606163
2016-10-03,794550.8170047438,717278.6167554402
2016-10-04,761338.3204090372,719118.3857292113
2016-10-05,766157.5154257558,745775.616929996
2016-10-06,638883.7664223303,570653.7892385375
2016-10-07,693996.8665870008,592327.1105737896
2016-10-08,831140.5008659296,733324.5883368473
2016-10-09,836156.5022418614,717753.1862731487
2016-10-10,819004.9666579701,730254.3612003315
2016-10-11,783776.1894114068,709588.602860216
2016-10-12,844548.3599446431,716518.3816444365
2016-10-13,822641.4767713842,753054.6307761552
2016-10-14,945922.430128082,758953.4821587572
2016-10-15,933260.3051706547,753894.9438772803
2016-10-16,938817.8656989568,755757.9051714159
2016-10-17,933431.9991508074,760917.056656433
2016-10-18,902896.4511817514,761911.6973209353
2016-10-19,934448.0946240477,750971.0545399224
2016-10-20,942427.226816131,765941.2669212692
2016-10-21,953618.0444308629,762203.1414406652
2016-10-22,972817.2824236298,772730.7629343134
2016-10-23,871216.7662481291,752274.9114601591
2016-10-24,747877.2532995804,661922.7085055575
2016-10-25,882655.4130099133,755967.2740474876
2016-10-26,866036.5498513696,716543.6973092519
2016-10-27,971098.7336133978,758983.6379687316
2016-10-28,928504.0300361334,754348.8244649679
2016-10-29,959698.1087072006,750891.1883812267
2016-10-30,864989.622328007,752783.8963295959
2016-10-31,929176.2488556751,752131.7514273378
2016-11-01,946979.5947751076,774892.1999385318
2016-11-02,924106.2032013607,763706.3891445278
2016-11-03,927744.2439995942,732602.4858777777
2016-11-04,965331.4935927426,772952.73721259
2016-11-05,971087.6928797351,775617.6933709189
2016-11-06,929023.3914862403,760776.4837102367
2016-11-07,939215.2112920762,766221.0967417646
2016-11-08,912509.7364767347,755483.4613853649
2016-11-09,898785.1064889857,757861.6042477393
2016-11-10,928639.6778306122,763644.5397793547
2016-11-11,919166.6192683076,766573.7050937186
2016-11-12,912577.2853643802,766072.1262552337
2016-11-13,930130.9510526485,760517.1780664312
2016-11-14,931015.2096699151,757706.0127549281
2016-11-15,919260.7282871405,757402.0005230942
2016-11-16,922933.9723847063,759208.9491635364
2016-11-17,861471.2983486927,767188.3099644339
2016-11-18,920539.3489559261,767559.7097535987
2016-11-19,964789.1046262124,764681.1533013411
2016-11-20,854511.9270904973,757700.4149353856
2016-11-21,923338.2814811768,756316.4160413978
2016-11-22,929608.059262095,760044.1929400886
2016-11-23,945244.7325488771,759517.2207400759
2016-11-24,808325.9043626627,758135.1029533789
2016-11-25,859894.2900808321,767884.7612361085
2016-11-26,900529.7727991326,766144.7850057067
2016-11-27,855128.8714424089,748118.827904524
2016-11-28,786241.2968100075,757370.0984994214
2016-11-29,830419.972577794,760416.3191196544
2016-11-30,738637.5203107521,584534.2149175456
2016-12-01,710392.7714371393,769919.0455729358
2016-12-02,700231.6263792653,769358.8722320272
2016-12-03,931547.6519590213,770594.9467914773
2016-12-04,849935.524334389,759554.3515859392
2016-12-05,880776.5293920407,751751.3069264733
2016-12-06,813038.6740920723,746755.1444260947
2016-12-07,840780.4917029632,765363.5168528514
2016-12-08,855052.3668283862,741581.9045885742
2016-12-09,949576.3646616886,769590.6623531333
2016-12-10,866444.7288127746,773169.3707720094
2016-12-11,937273.5756521089,768134.5258284798
2016-12-12,835488.505204434,750502.2848404226
2016-12-13,788625.8588732836,765287.6758543407
2016-12-14,909235.4606599581,761939.573889146
2016-12-15,901241.6086216002,765712.7509791605
2016-12-16,882238.7741313381,774711.2216615978
2016-12-17,836827.2334984251,770478.1782132128
2016-12-18,818857.952617929,766155.4330561338
2016-12-19,875906.1935907486,763523.6833933347
2016-12-20,902958.4290984693,758824.1716546107
2016-12-21,821663.9657053049,646384.4514530877
2016-12-22,732250.4933746529,602777.0586689274
2016-12-23,853970.4346147716,662945.0822816042
2016-12-24,894795.7150893122,741114.956309345
2016-12-25,770511.9194542371,740672.8002378646
2016-12-26,653497.158407426,758459.2537624626
2016-12-27,755039.1631592485,658206.1833572265
2016-12-28,827449.284592619,742244.1894691559
2016-12-29,830455.3034530211,758655.3540252154
2016-12-30,882061.8475913185,742272.6494739248
2016-12-31,910068.1714417025,745708.2211250053
2017-01-01,904812.1038670209,751625.8868335794
2017-01-02,896779.1737029818,757496.7907825852
2017-01-03,865096.4342328558,758155.5258697957
2017-01-04,864289.7306607261,762719.5660484628
2017-01-05,836340.3467990333,748411.6613882727
2017-01-06,809940.0555455404,707467.0551590547
2017-01-07,798961.0914293858,706729.9763979968
2017-01-08,679681.2354814126,706347.004750704
2017-01-09,712878.0575828985,701512.143002549
2017-01-10,811158.9679450911,711752.7629422656
2017-01-11,638782.1607414664,600776.9695952208
2017-01-12,838429.2506597145,711836.0658953673
2017-01-13,911554.769222419,737518.4559254271
2017-01-14,894608.5005085141,738787.4164045501
2017-01-15,851521.6848509515,724987.3877565105
2017-01-16,887328.8851788571,725127.9757029671
2017-01-17,815124.8457724908,727813.1248473077
2017-01-18,761656.936027534,722347.579903471
2017-01-19,732013.7267144821,603528.1040865979
2017-01-20,863231.4553808408,698169.5299863967
2017-01-21,877645.7713294307,706087.194774736
2017-01-22,857886.0962279642,709091.4470153061
2017-01-23,870749.3156135604,715728.180541207
2017-01-24,828401.2940913639,690843.5527937628
2017-01-25,771972.8793471727,694098.1133670969
2017-01-26,817324.1406243301,696212.4538730178
2017-01-27,838545.5734558002,711832.6316536033
2017-01-28,862484.1992770911,716750.3589435552
2017-01-29,854928.7822380449,715225.720292363
2017-01-30,857287.7738788193,703599.6672027071
2017-01-31,829780.361704341,718287.9153227323
2017-02-01,840592.8695909659,716990.813224166
2017-02-02,821396.8996752554,697850.1000269558
2017-02-03,781800.8575984435,682151.4318686588
2017-02-04,767611.2812532265,670190.6780651337
2017-02-05,790033.1051397459,668236.8323566394
2017-02-06,740848.0077656267,645911.5494064055
2017-02-07,754828.2414174128,648995.121730027
2017-02-08,765337.0499403629,655886.037867376
2017-02-09,781313.4934486552,651547.3877934138
2017-02-10,790067.4110440575,651460.6559462335
2017-02-11,762425.6734008709,656060.8315587753
2017-02-12,737394.884948953,649652.4186482825
2017-02-13,693343.2502438554,655972.9717914665
2017-02-14,672573.3025767163,645044.3617248572
2017-02-15,785295.0541126989,669544.8994585065
2017-02-16,801052.4140908843,668914.0876482199
2017-02-17,784749.2418763285,662804.1084744467
2017-02-18,793562.1502209834,661670.2170087625
2017-02-19,798169.5536689466,657379.6325463252
2017-02-20,796661.904458087,653451.6344478792
2017-02-21,747641.4906467305,650081.8896449942
2017-02-22,637661.3992631093,575920.8788464698
2017-02-23,692821.3236816475,650155.2107504442
2017-02-24,763638.5078621845,612262.6919851069
2017-02-25,784690.8707338636,637048.4509979355
2017-02-26,767196.0967065024,652004.785065884
2017-02-27,781225.0730483775,660586.2732475217
2017-02-28,719921.4679720261,655401.550719203
2017-03-01,680941.6730488554,650763.8246432939
2017-03-02,764789.483532192,649896.8707217447
2017-03-03,794637.4643942473,659200.1047361086
2017-03-04,777523.8980780608,652861.0428536712
2017-03-05,798716.5461366775,656081.5123316861
2017-03-06,795926.0066198355,657854.913010571
2017-03-07,669214.1290213396,659156.7497510698
2017-03-08,711366.0468988356,658787.0579832637
2017-03-09,790389.4444160423,658884.5905630464
2017-03-10,782089.1455283511,665019.5215548546
