,CORN,SOYABEAN,WHEAT_SRW,WHEAT_HRW
2016-07-12,58175.640000000014,-230430.80000000005,846574.1599999999,840408.3899999999
2016-07-13,403506.26,-880620.6200000001,1661952.9999999998,1130442.88
2016-07-14,731611.65,-569209.9600000002,1854234.1099999999,1738423.48
2016-07-15,838359.8,-512007.26000000024,2235328.38,1782883.65
2016-07-18,848012.0599999999,-698018.7200000002,2833536.68,2053111.67
2016-07-19,522725.58999999973,-957119.04,3358480.54,2688600.8499999996
2016-07-20,516416.9499999996,-819373.5900000003,4589437.82,2979048.05
2016-07-21,266759.8299999997,-1065886.6600000001,5114751.430000001,3724156.5599999996
2016-07-22,416063.10999999975,-1230673.87,5685461.24,4365353.63
2016-07-25,276404.0799999997,-1699696.6400000006,5807260.7,3958543.0
2016-07-26,562683.5999999997,-1755656.0900000008,6359210.23,4269054.86
2016-07-27,503284.35999999975,-1751247.5900000008,6823977.220000001,4594057.63
2016-07-28,576385.34,-2034889.230000001,7226725.74,4825066.43
2016-07-29,483281.2399999999,-2735157.0300000007,7426065.55,5129172.08
2016-08-01,214474.0099999999,-2601367.5700000003,7827542.42,4960308.3
2016-08-02,182371.83999999997,-3537428.0100000002,8313178.0,5511643.51
2016-08-03,162277.6699999998,-3229030.47,8398229.01,4553080.399999999
2016-08-04,-310323.9200000003,-3979669.2800000003,8876507.02,5397678.76
2016-08-05,-320778.9600000002,-4429739.0600000005,8894415.82,5184298.25
2016-08-08,-115354.36000000022,-4618631.41,9492549.14,4621413.32
2016-08-09,-268249.9600000003,-5879903.710000001,9825395.39,4932787.630000001
2016-08-10,-247214.06000000017,-6036305.820000001,10232806.73,5280775.930000001
2016-08-11,-238028.26,-5640040.150000001,10829126.9,5645831.73
2016-08-12,-281231.54000000004,-6078403.240000001,12387426.34,5586809.550000001
2016-08-15,-541460.7000000001,-6215218.380000001,12557189.91,5395893.590000001
2016-08-16,-632679.3600000001,-6592244.07,12704408.620000001,5820917.780000001
2016-08-17,-768898.4700000002,-6497830.88,12915930.65,5359181.980000001
2016-08-18,-731124.4800000002,-6784767.47,13358316.94,4372174.450000001
2016-08-19,-843034.4800000002,-7132700.67,13963125.09,4861065.630000001
2016-08-22,-627776.2400000002,-7567430.34,14522723.41,5366514.0600000005
2016-08-23,-693743.8400000002,-7498216.26,15939179.49,5585724.140000001
2016-08-24,-615578.6600000001,-8120710.07,16339024.6,6085447.73
2016-08-26,-655682.3200000001,-8511101.93,16291119.83,6636593.03
2016-08-29,-466684.95000000007,-8763628.61,16723826.96,6985264.48
2016-08-30,-254674.2500000001,-9029852.51,17123612.470000003,6977764.890000001
2016-08-31,-205358.23000000007,-9361223.44,18290852.520000003,7362281.590000001
2016-09-01,-55964.26000000007,-9570167.16,18575038.080000002,7699026.780000001
2016-09-02,-253866.71000000005,-9667600.96,18689024.23,6982373.180000002
2016-09-06,-250524.58000000005,-9709505.96,18266468.68,5980293.3500000015
2016-09-07,-285034.26,-9903637.8,18475981.16,6080645.550000002
2016-09-08,-187232.82,-10160370.97,18656837.87,6552601.060000001
2016-09-09,-394014.26,-10305753.4,18825314.57,6763898.480000001
2016-09-12,-396090.61,-10384562.05,19161023.28,6243487.760000002
2016-09-13,-551376.63,-10388603.430000002,19203474.07,5820526.3900000015
2016-09-14,-537746.65,-10358306.620000001,19510519.1,6196659.790000002
2016-09-15,-438784.07,-10781538.440000001,20087418.11,6547128.240000002
2016-09-16,-445224.52,-10835661.410000002,20299657.63,6447051.760000002
2016-09-19,-454612.37,-10822088.180000002,20475066.349999998,6139785.910000002
2016-09-20,-425560.1,-10404395.750000002,20623836.599999998,6425105.100000002
2016-09-21,-336735.26,-10177892.840000002,20451171.7,6312825.300000003
2016-09-22,-107154.36000000002,-10152844.130000003,20664480.04,6708428.020000002
2016-09-23,-20213.47,-10214002.040000003,21034387.08,6496319.420000003
2016-09-26,368058.13,-9584001.850000003,20814848.459999997,6353058.030000003
2016-09-27,490267.35000000003,-9057329.580000004,20950679.389999997,5826388.420000003
2016-09-28,683278.43,-8723347.120000005,21198989.419999998,6170413.460000003
2016-09-29,798804.53,-8921372.800000004,21349894.919999998,6199870.960000003
2016-09-30,1066477.69,-9581611.130000005,22123218.18,6557037.460000003
2016-10-03,1292084.33,-9762648.490000004,21934433.8,6018788.210000003
2016-10-04,1529122.06,-9322417.820000004,21980067.87,5436989.210000003
2016-10-05,1745638.01,-8882576.130000005,22661477.71,5693056.490000003
2016-10-06,1921898.84,-8670717.630000005,22658313.490000002,6124248.5100000035
2016-10-07,2138285.79,-8608341.060000004,22639138.87,5982046.810000003
2016-10-10,2723956.69,-6740597.3400000045,22798292.73,5731104.990000003
2016-10-11,2767348.12,-6057704.290000005,22683729.080000002,5506253.610000003
2016-10-12,2848087.7800000003,-6539220.690000005,22301684.880000003,5609868.5100000035
2016-10-13,2853165.4400000004,-7130556.440000005,22403668.270000003,5818831.110000003
2016-10-14,3127054.4000000004,-6597234.520000005,22563644.780000005,5506375.310000003
2016-10-17,3858068.8600000003,-4887126.820000005,22611615.730000004,4800641.210000004
2016-10-18,3810065.6300000004,-3541634.9500000053,22438678.380000003,4453762.830000004
2016-10-19,3786955.83,-3019312.2500000056,22345327.250000004,4497772.740000004
2016-10-20,4243865.86,-3675153.9100000057,22302970.610000003,4523783.050000004
2016-10-21,4556514.140000001,-3318924.0100000054,21936727.060000002,4644102.950000004
2016-10-24,4936790.280000001,-1309278.6100000064,22036312.740000002,4836378.490000004
2016-10-25,5209198.8900000015,-1259520.4800000065,21945588.200000003,4901183.160000004
2016-10-26,5331201.300000002,-1369875.5600000063,21982869.110000003,4954325.790000004
2016-10-27,5157897.800000002,-127839.85000000661,21954377.17,5063275.490000004
2016-10-28,5278781.740000002,-271025.4600000067,21869320.240000002,5129656.160000004
2016-10-31,5826730.510000002,-347538.38000000664,21788012.910000004,4640504.140000004
2016-11-01,6124286.970000002,-216177.11000000662,21402268.180000003,4196740.680000004
2016-11-02,6317845.610000001,476338.97999999335,21260546.380000003,4191331.1500000046
2016-11-03,5582243.820000001,1113201.1699999934,21169362.37,3822871.0400000047
2016-11-04,5830017.360000001,1547061.0699999933,21069455.91,3822016.450000005
2016-11-07,6200338.050000002,1918297.1299999934,20927967.45,3676397.0600000047
2016-11-08,6485858.260000002,3015388.8999999934,20896575.72,3757229.9400000046
2016-11-09,6485612.310000001,3294543.3999999934,20773830.64,3352604.6500000046
2016-11-10,6527848.150000001,3930379.0099999933,20731413.11,3340248.640000005
2016-11-11,6751157.060000001,4125481.619999993,20741792.259999998,3223933.320000005
2016-11-14,6569256.050000002,4631379.849999993,20612314.089999996,2382542.310000005
2016-11-15,6909113.950000002,4325777.989999993,20527322.899999995,1999791.440000005
2016-11-16,6754064.520000002,320019.75999999326,20616274.349999994,2025811.320000005
2016-11-17,6993772.990000002,895341.5699999932,20679231.669999994,2137269.780000005
2016-11-18,6643661.070000002,949714.9999999931,20579627.009999994,2056859.020000005
2016-11-21,6574389.670000002,696500.849999993,20597563.069999993,2069256.260000005
2016-11-22,6843989.330000002,1766163.919999993,20436575.80999999,2112673.120000005
2016-11-23,6628962.830000002,2301309.289999993,20437544.20999999,1737681.0800000047
2016-11-25,6357616.740000002,2490362.099999993,20464198.35999999,1833951.6800000048
2016-11-28,6457212.410000002,2588171.599999993,20349136.52999999,732568.0800000047
2016-11-29,6238923.980000002,2759795.2899999935,20191126.22999999,540571.9000000048
2016-11-30,6341080.410000002,3019745.0299999933,20185060.99999999,603798.5600000048
2016-12-01,6379748.000000002,-448515.18000000715,20181768.93999999,508662.70000000484
2016-12-02,6388158.610000002,-686664.5900000073,19907283.33999999,173702.24000000482
2016-12-05,6275554.370000002,-667141.8300000071,19922868.11999999,57797.74000000482
2016-12-06,6271511.870000002,-427243.2000000072,19790443.71999999,133906.09000000483
2016-12-07,6309103.110000002,-399357.33000000706,19676502.77999999,294983.6700000048
2016-12-08,6447549.370000002,-469819.26000000676,19525255.29999999,409313.1400000048
2016-12-09,6747519.380000002,-129140.42000000691,19476882.38999999,508716.1800000048
2016-12-12,6692730.820000002,243959.11999999336,19242981.629999988,621957.0200000048
2016-12-13,6695780.410000002,312798.5699999933,18940015.49999999,773520.4600000049
2016-12-14,6157433.120000002,1042295.3799999934,18634665.09999999,595263.7600000049
2016-12-15,6095727.420000002,1296916.4099999936,18405054.94999999,810583.0500000049
2016-12-16,6151059.070000002,-1215368.7600000063,18021506.769999992,973718.6200000049
2016-12-19,5830830.640000002,-1511704.8700000066,17754392.94999999,1094554.760000005
2016-12-20,6469578.300000003,-767769.6300000069,17668858.71999999,1372515.4600000049
2016-12-21,6530114.9700000025,-510460.1000000071,17537037.859999992,1212559.860000005
2016-12-22,6605034.410000003,-1043794.2900000075,17282233.28999999,1294284.360000005
2016-12-23,6349754.410000003,-1646814.0000000075,17196277.589999992,1022667.930000005
2016-12-27,6655817.600000003,-1133488.4000000074,16994971.23999999,343023.06000000506
2016-12-28,6832707.890000003,-1353939.9800000074,16804325.999999993,175798.39000000508
2016-12-29,6584335.890000003,-483711.9200000074,16676310.529999992,243658.61000000508
2016-12-30,6498444.160000004,-493610.20000000764,16593912.969999991,363114.3400000051
2017-01-03,6192150.830000004,-1897671.1600000076,16349443.399999991,-745518.0699999948
2017-01-04,6087215.930000003,-1799452.2300000074,15999284.91999999,-616321.6699999948
2017-01-05,6330141.620000004,-1638088.1700000074,15875996.40999999,-567896.5999999949
2017-01-06,6466036.650000004,-1849623.940000007,15437178.559999991,-424737.4999999949
2017-01-09,6326259.610000004,-1479344.3800000069,15114631.869999992,-1853838.179999995
2017-01-10,6267995.620000004,-1191920.770000007,15027123.069999991,-2051932.129999995
2017-01-11,6492910.720000004,-951495.500000007,15017096.85999999,-1975222.489999995
2017-01-12,6181972.220000004,-899982.9000000074,14999698.33999999,-1531781.729999995
2017-01-13,6297807.190000004,-1777000.8000000073,15025771.479999991,-1369392.399999995
2017-01-17,5999380.8000000045,-1004300.1100000073,14707382.809999991,-1719946.159999995
2017-01-18,6219041.490000004,-326242.1100000073,14729668.42999999,-1556317.469999995
2017-01-19,6362762.660000004,-273543.0100000077,14461976.91999999,-1740440.709999995
2017-01-20,5807592.940000004,-563183.3400000075,14410031.90999999,-1614988.639999995
2017-01-23,5626812.220000004,48999.379999992205,14256224.34999999,-1863067.549999995
2017-01-25,5638438.890000004,427119.8999999922,14052444.59999999,-2041680.1499999948
2017-01-26,5507743.630000005,338159.9899999923,13822693.979999991,-1778196.1999999948
2017-01-27,5536867.570000005,318919.0699999924,13656729.859999992,-1539618.6999999948
2017-01-30,5436609.240000005,411705.17999999225,13079701.609999992,-2905573.6199999945
2017-01-31,5021696.070000005,177204.7699999921,13084521.409999993,-3101766.5799999945
2017-02-01,5423284.540000005,780584.0999999922,12991654.149999993,-3328913.0599999945
2017-02-02,5327494.400000004,1141119.1799999923,12915366.369999994,-3114626.3499999945
2017-02-03,5129861.500000004,1088312.9699999923,12762378.649999993,-3039936.4899999946
2017-02-06,4857572.050000004,889884.5699999921,12732488.889999993,-3968220.9099999946
2017-02-07,4498362.780000004,840464.3899999921,12874698.169999992,-4052596.2499999944
2017-02-08,4551969.420000004,1109865.0099999919,12882616.489999993,-4615905.8299999945
2017-02-09,4403011.550000004,1435021.4099999918,12781729.719999993,-4362426.559999995
2017-02-10,3887356.0400000038,1772724.4199999918,12498191.729999993,-4603348.889999995
2017-02-13,3368332.6700000037,1977043.4199999918,12020359.809999993,-4748031.639999995
2017-02-14,3205755.9300000034,2273460.479999992,11831397.199999994,-4937062.029999995
2017-02-15,3028588.1300000036,2427540.2199999923,11371313.569999993,-4743804.469999995
2017-02-16,2783925.7000000034,3200983.559999992,11439742.429999992,-4721500.859999995
2017-02-17,2589850.8700000034,2914806.349999992,11012091.109999992,-5028481.409999995
2017-02-21,1968415.4000000032,3167067.389999992,9682298.949999992,-5249393.709999994
2017-02-22,1918278.7700000033,3181115.1299999924,9445615.059999991,-5025169.669999994
2017-02-23,2043636.470000003,3462206.7999999924,9137910.84999999,-4752385.969999994
2017-02-24,1836016.200000003,2991705.3599999924,8968807.649999991,-4938915.899999994
2017-02-27,1680046.1700000032,3220841.4299999923,8647213.359999992,-5623033.829999994
2017-02-28,1403734.1800000032,3721442.819999992,8034689.719999992,-5424106.589999993
2017-03-01,1621629.510000003,3280191.739999992,8046004.589999992,-5180043.179999993
2017-03-02,1796413.2200000032,3393424.009999992,7989090.729999992,-5028073.149999993
2017-03-03,2063014.6500000032,3266403.6699999915,7907425.499999992,-4923904.1699999925
2017-03-06,2049415.4400000032,3303528.1199999917,8076997.249999992,-5531758.259999992
2017-03-07,1993356.530000003,3602488.699999992,7839252.639999991,-5336298.699999993
2017-03-08,1739683.720000003,3722127.729999992,7817658.049999991,-5116656.339999992
2017-03-09,1855477.2900000028,3753236.609999992,7574189.249999992,-4936466.969999992
2017-03-10,2048197.450000003,3454232.6799999923,7220731.899999992,-5102980.339999992
2017-03-13,1181027.050000003,3318364.6799999923,6938704.329999992,-6744802.309999992
2017-03-14,1286594.2500000033,3060069.149999992,6725032.059999991,-6465538.189999992
2017-03-15,1376820.6500000032,3156286.3299999917,6450451.179999991,-6580802.949999992
2017-03-16,1583056.260000003,3405352.949999992,5824962.769999991,-6281565.279999992
2017-03-17,1209620.700000003,3230075.7499999916,5473401.099999991,-6115564.759999992
2017-03-20,868602.900000003,3014049.9799999916,5158509.809999991,-6212207.7099999925
2017-03-21,984512.500000003,2749262.1899999916,4922901.819999991,-6137735.309999992
2017-03-22,1056474.3300000029,3224439.3799999915,4396111.589999991,-6345825.069999992
2017-03-23,727515.760000003,3547360.0799999917,3893356.8399999905,-6555781.419999992
2017-03-24,695353.800000003,4038161.179999992,3604280.1699999906,-6371608.199999992
2017-03-27,495840.570000003,3222352.7899999917,3003303.8899999904,-6329066.109999992
