,CORN,SOYABEAN,WHEAT_SRW,WHEAT_HRW
2010-01-04,,,,
2010-01-05,448276.5834961989,1258525.580642633,-129710.62807733897,-3371.366720239317
2010-01-06,1452785.8683930917,2349335.3313175244,-252546.39680463873,3306.592128502193
2010-01-07,1620419.2275513331,1949801.6240368106,-190548.6138612149,10174.081938677471
2010-01-08,243025.26690370287,1259272.6759148547,-203266.23434033652,7743.564220337429
2010-01-11,-786476.0841832119,-516353.21685325936,-162512.4460479641,-84994.15849265491
2010-01-12,654977.9527853287,1280570.476343388,-408095.74540238705,-423802.9293541176
2010-01-13,1756164.1551084744,2704030.912587116,-383285.16332808137,-404736.6513602685
2010-01-14,3160901.740133986,3700039.6925285254,-318415.78124879615,-389310.72972450475
2010-01-15,2621610.645191294,3698241.976948901,-404673.0153468103,-407509.20380985294
2010-01-19,4605754.735387663,2199767.448765392,-726078.0297590265,-403227.8014113277
2010-01-20,5120719.676582729,1901501.9134026957,-726604.8372175407,-394861.8813318682
2010-01-21,4765576.597349796,1513890.875737113,-689400.870422021,-465585.70084798936
2010-01-22,4241936.214197003,1776941.459888898,-755981.1977104514,-463622.65221999545
2010-01-25,3924025.1539509925,-56867.429646567674,-1120096.7839653292,-461575.8084718537
2010-01-26,2150326.4298530975,-245389.83246396235,-1173132.8210910964,-449485.1491682773
2010-01-27,3252782.8467058307,624058.4444579304,-1272835.4745384369,-474107.1237931241
2010-01-28,4105508.2986368225,1685951.9574545757,-1411105.5079998884,-458465.5794026398
2010-01-29,1771844.4773794948,-1994572.7459751526,-1392500.8271796638,-833395.3881676203
2010-02-01,1128995.849249381,-1432602.0983885317,-1564639.4998427331,-847740.332381799
2010-02-02,976941.3026256382,-750243.6311180121,-1549481.8840140412,-1568693.734900612
2010-02-03,1816363.161455113,-143127.41066176584,-1931670.2862249035,-1527502.8589837437
2010-02-04,2563120.343104826,780785.8150067995,-1836839.9073086143,-1613504.5251661746
2010-02-05,2044494.9840067504,1281416.7220822251,-1874958.4876832936,-1616078.635966942
2010-02-08,636310.2819874284,-413328.0324440757,-1921719.565989404,-1878294.5526517292
2010-02-09,-542521.0980053518,-848974.0622669166,-1931308.2540797233,-2266953.414656588
2010-02-10,-527495.600360786,-1272577.225915981,-2143705.2742432244,-2265267.220695282
2010-02-11,-722198.8948262857,-584607.4156850819,-2198481.272467538,-2341331.177434936
2010-02-12,-1965353.1386441984,-71141.74973339908,-2247947.4132036814,-2372758.419997771
2010-02-16,-3285410.840127946,-1889421.0158433863,-2200437.7956883884,-2408222.0461689685
2010-02-17,-3238713.106651214,-1600967.8985481213,-2179441.9275262104,-2430915.8901834935
2010-02-18,-3248967.6551366867,-668792.8184393288,-2107589.3247682136,-2440432.9423897224
2010-02-19,-3071345.1006413107,-239493.65833307093,-2106969.9475721125,-2536618.203716804
2010-02-22,-4967971.736952832,-1980851.9299646993,-2088657.4328062893,-2550640.268953905
2010-02-23,-3621949.8367780037,-1649832.8279640824,-2322313.2058413615,-2548363.6720149554
2010-02-24,-3865206.9114490338,-880841.1545975107,-2403518.550965823,-2554337.775059943
2010-02-25,-3244859.508608715,-156508.0855940926,-2422244.3796490207,-2573312.7785821753
2010-02-26,-5346888.798821729,-2943988.2924034633,-2499169.0724106133,-2719011.357510294
2010-03-01,-7600068.6333192205,-1592090.2484520213,-2421863.576330463,-2835238.3814376853
2010-03-02,-7556713.6856833445,-1207196.164708371,-2348091.9951941767,-3919197.551283354
