,CORN,SOYABEAN,WHEAT_SRW,WHEAT_HRW
2005-01-04,7527.0,1178.0,18703.0,45802.0
2005-01-11,7599.0,635.0,18722.0,45465.0
2005-01-18,7786.0,452.0,18071.0,45423.0
2005-01-25,7719.0,137.0,18040.0,45303.0
2005-02-01,7701.0,249.0,18020.0,45256.0
2005-02-08,7665.0,207.0,17950.0,45060.0
2005-02-15,7758.0,185.0,17821.0,44822.0
2005-02-22,7619.0,179.0,17727.0,44462.0
2005-03-01,7640.0,190.0,17576.0,44070.0
2005-03-08,7694.0,360.0,17505.0,44104.0
2005-03-15,7596.0,460.0,17351.0,44293.0
2005-03-22,7660.0,557.0,17199.0,44023.0
2005-03-29,7668.0,756.0,17146.0,43835.0
2005-04-05,7677.0,1494.0,16883.0,43564.0
2005-04-12,7458.0,1717.0,16431.0,43614.0
2005-04-19,7664.0,2098.0,16190.0,43367.0
2005-04-26,7314.0,2307.0,16139.0,42990.0
2005-05-03,7376.0,2336.0,15996.0,42633.0
2005-05-10,6433.0,2405.0,15954.0,42543.0
2005-05-17,6463.0,2442.0,15694.0,42197.0
2005-05-24,6320.0,2752.0,15659.0,41934.0
2005-05-31,6360.0,2891.0,15564.0,41857.0
2005-06-07,6463.0,2915.0,15351.0,41478.0
2005-06-14,6553.0,2696.0,15113.0,41384.0
2005-06-21,6661.0,2756.0,14049.0,40924.0
2005-06-28,6662.0,2525.0,14330.0,40714.0
2005-07-05,6751.0,2487.0,12867.0,41041.0
2005-07-12,6806.0,2310.0,13658.0,40972.0
2005-07-19,6906.0,2168.0,16250.0,41230.0
2005-07-26,6955.0,2149.0,17201.0,41473.0
2005-08-02,6841.0,2123.0,18119.0,42173.0
2005-08-09,6788.0,2208.0,19958.0,42952.0
2005-08-16,6555.0,2137.0,20794.0,43751.0
2005-08-23,6184.0,2066.0,21388.0,43942.0
2005-08-30,5533.0,1702.0,21904.0,44532.0
2005-09-06,5046.0,1410.0,22391.0,45166.0
2005-09-13,4688.0,990.0,23088.0,45394.0
2005-09-20,4683.0,776.0,23702.0,45498.0
2005-09-27,4574.0,598.0,23697.0,45691.0
2005-10-04,4643.0,117.0,23624.0,45476.0
2005-10-11,4719.0,364.0,23715.0,45541.0
