,CORN,SOYABEAN,WHEAT_SRW,WHEAT_HRW
2010-01-04,4.2875000000000005,10.625,5.707500000000001,5.622500000000001
2010-01-05,4.29,10.6475,5.655,5.582500000000001
2010-01-06,4.32,10.63,5.7975,5.7175
2010-01-07,4.28,10.31,5.700000000000001,5.612499999999999
2010-01-08,4.3325000000000005,10.277500000000002,5.807499999999999,5.7124999999999995
2010-01-11,4.329999999999999,10.1725,5.8475,5.7725
2010-01-12,4.03,9.8575,5.487499999999999,5.457500000000001
2010-01-13,3.9499999999999997,9.9975,5.5,5.482500000000001
2010-01-14,3.9175,9.9075,5.4075,5.387500000000001
2010-01-15,3.8249999999999997,9.8025,5.235,5.2375
2010-01-18,3.8249999999999997,9.8025,5.235,5.2375
2010-01-19,3.802500000000001,9.7025,5.142499999999999,5.165
2010-01-20,3.7875000000000005,9.5675,5.1125,5.165
2010-01-21,3.8274999999999997,9.61,5.13,5.1499999999999995
2010-01-22,3.7549999999999994,9.5925,5.122500000000001,5.14
2010-01-25,3.7875000000000005,9.495000000000003,5.12,5.1275
2010-01-26,3.732500000000001,9.57,5.0775,5.115000000000001
2010-01-27,3.6924999999999994,9.385,4.9775,5.0249999999999995
2010-01-28,3.7275,9.415000000000001,5.009999999999999,5.0675
2010-01-29,3.677500000000001,9.2475,4.8825,4.990000000000001
2010-02-01,3.7024999999999997,9.207499999999998,4.8950000000000005,4.995
2010-02-02,3.7624999999999997,9.365,5.015,5.11
2010-02-03,3.645,9.19,4.835,4.95
2010-02-04,3.6525000000000003,9.2475,4.8999999999999995,5.005
2010-02-05,3.6299999999999994,9.2425,4.88,4.9624999999999995
2010-02-08,3.6750000000000003,9.4,4.990000000000001,5.075
2010-02-09,3.7024999999999997,9.352500000000001,4.9725,5.017499999999999
2010-02-10,3.732500000000001,9.545,5.1175,5.170000000000001
2010-02-11,3.857500000000001,9.5875,5.2124999999999995,5.240000000000001
2010-02-12,3.8425000000000002,9.6075,5.14,5.170000000000001
2010-02-15,3.8425000000000002,9.6075,5.14,5.170000000000001
2010-02-16,3.8999999999999995,9.8175,5.322499999999999,5.3425
2010-02-17,3.8249999999999997,9.6875,5.22,5.2425
2010-02-18,3.7975000000000003,9.652500000000002,5.122500000000001,5.1525
2010-02-19,3.8274999999999997,9.620000000000003,5.1675,5.2
2010-02-22,3.9375,9.7525,5.2775,5.305
2010-02-23,3.892499999999999,9.655,5.1825,5.204999999999999
2010-02-24,3.9675000000000002,9.705,5.2625,5.2700000000000005
2010-02-25,3.935,9.575000000000001,5.1625000000000005,5.1825
2010-02-26,3.9975,9.69,5.3125,5.3175
2010-03-01,3.9250000000000003,9.705,5.1675,5.21
2010-03-02,3.9225000000000003,9.707499999999998,5.1675,5.1925
2010-03-03,3.9775,9.71,5.2825,5.29
2010-03-04,3.94,9.505,5.1450000000000005,5.185000000000001
2010-03-05,3.865000000000001,9.505,5.0575,5.115000000000001
2010-03-08,3.8600000000000003,9.56,5.0775,5.13
2010-03-09,3.8000000000000003,9.56,5.0225,5.0825000000000005
2010-03-10,3.7649999999999997,9.655,4.945,5.017499999999999
2010-03-11,3.7624999999999997,9.39,4.915,5.0025
2010-03-12,3.7549999999999994,9.335,4.98,5.055
2010-03-15,3.7425000000000006,9.375,4.920000000000001,4.985
2010-03-16,3.7775000000000003,9.527500000000002,4.997500000000001,5.055
2010-03-17,3.8525,9.667500000000002,5.0874999999999995,5.1275
2010-03-18,3.8700000000000006,9.674999999999999,5.017499999999999,5.0575
2010-03-19,3.855,9.695,4.965,5.03
2010-03-22,3.8174999999999994,9.7675,4.990000000000001,5.05
2010-03-23,3.7375000000000003,9.755,4.892499999999999,4.9575000000000005
2010-03-24,3.7600000000000002,9.674999999999999,4.8875,4.9624999999999995
2010-03-25,3.6625000000000005,9.505,4.795000000000001,4.8775
2010-03-26,3.6750000000000003,9.597499999999998,4.78,4.865000000000001
2010-03-29,3.6825000000000006,9.745000000000003,4.78,4.8475
2010-03-30,3.6599999999999997,9.807500000000003,4.8525,4.9075
2010-03-31,3.565,9.5,4.64,4.732500000000001
2010-04-01,3.56,9.512500000000001,4.8500000000000005,4.8175
2010-04-02,3.56,9.512500000000001,4.8500000000000005,4.8175
2010-04-05,3.5749999999999997,9.4525,4.84,4.825
2010-04-06,3.579999999999999,9.534999999999998,4.94,5.045000000000001
2010-04-07,3.677500000000001,9.615,5.055,5.1475
2010-04-08,3.5949999999999998,9.56,4.997500000000001,5.0825000000000005
2010-04-09,3.677500000000001,9.620000000000003,4.965,5.065
2010-04-12,3.6999999999999997,9.685,4.9775,5.0675
2010-04-13,3.7350000000000003,9.450000000000001,5.0625,5.155
2010-04-14,3.7875000000000005,9.4625,5.0425,5.1325
2010-04-15,3.8425000000000002,9.61,5.0975,5.1875
2010-04-16,3.8400000000000003,9.655,5.1925,5.295000000000001
2010-04-19,3.6725000000000003,9.56,4.965,5.055
2010-04-20,3.75,9.6325,5.1499999999999995,5.2425
2010-04-21,3.7800000000000002,9.769999999999998,5.16,5.2225
2010-04-22,3.7975000000000003,9.85,5.2725,5.329999999999999
2010-04-23,3.6950000000000003,9.790000000000001,5.2175,5.28
2010-04-26,3.6800000000000006,9.775,5.0475,5.125
2010-04-27,3.615000000000001,9.6175,5.07,5.1475
2010-04-28,3.71,9.655,5.0425,5.1375
2010-04-29,3.7624999999999997,9.705,5.115000000000001,5.19
2010-04-30,3.835,9.7575,5.1875,5.2625
2010-05-03,3.802500000000001,9.665000000000001,5.177500000000001,5.245
2010-05-04,3.7775000000000003,9.63,5.265,5.34
2010-05-05,3.8075000000000006,9.555,5.2775,5.355
2010-05-06,3.7775000000000003,9.2875,5.240000000000001,5.310000000000001
2010-05-07,3.7849999999999997,9.3425,5.265,5.325
2010-05-10,3.7775000000000003,9.347499999999998,5.095,5.197499999999999
2010-05-11,3.8400000000000003,9.375,5.1025,5.2124999999999995
2010-05-12,3.8425000000000002,9.375,5.085,5.1875
2010-05-13,3.7975000000000003,9.352500000000001,4.96,5.085
2010-05-14,3.7024999999999997,9.262500000000001,4.8875,5.0225
2010-05-17,3.6399999999999997,9.165000000000001,4.8625,5.015
2010-05-18,3.6825000000000006,9.135,4.8525,4.995
2010-05-19,3.6800000000000006,9.057500000000003,4.8675,5.0325
2010-05-20,3.6950000000000003,9.08,4.8675,5.04
2010-05-21,3.767499999999999,9.075000000000001,4.892499999999999,5.07
2010-05-24,3.8000000000000003,9.155,4.8500000000000005,5.0249999999999995
2010-05-25,3.732500000000001,9.03,4.78,4.9675
2010-05-26,3.81,9.1,4.79,5.0075
2010-05-27,3.8325,9.1875,4.8525,5.0475
2010-05-28,3.69,9.0775,4.7525,4.935000000000001
2010-05-31,3.69,9.0775,4.7525,4.935000000000001
2010-06-01,3.6399999999999997,9.027500000000002,4.6825,4.8999999999999995
2010-06-02,3.5874999999999995,9.034999999999998,4.6025,4.857500000000001
2010-06-03,3.5949999999999998,9.1975,4.5925,4.835
2010-06-04,3.4925,9.0,4.5225,4.767499999999999
2010-06-07,3.4499999999999997,9.0,4.4925,4.740000000000001
2010-06-08,3.4600000000000004,8.9425,4.490000000000001,4.7375
2010-06-09,3.4699999999999998,8.965000000000002,4.447499999999999,4.7
2010-06-10,3.5249999999999995,9.049999999999999,4.5,4.745
2010-06-11,3.5900000000000003,9.195,4.855,4.79
2010-06-14,3.75,9.265,4.94,5.09
2010-06-15,3.75,9.2525,4.94,5.075
2010-06-16,3.7725,9.335,5.045000000000001,5.195
2010-06-17,3.7824999999999998,9.340000000000002,5.0874999999999995,5.245
2010-06-18,3.8050000000000006,9.3975,5.0874999999999995,5.259999999999999
2010-06-21,3.7475,9.480000000000002,5.072499999999999,5.285
2010-06-22,3.7199999999999998,9.450000000000001,5.0425,5.23
2010-06-23,3.6550000000000002,9.3275,5.0249999999999995,5.232500000000001
2010-06-24,3.645,9.215000000000002,5.0425,5.215
2010-06-25,3.605,9.2175,4.9750000000000005,5.107500000000001
